# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 0 6 0 78 84 0 0 6 0 0 2825 102 0 73 0 0 0 0 0 102 73
 1.000000E+00 0 1 11 0 81 71 0 0 9 0 0 2661 208 0 130 1 0 0 0 0 209 131
 1.500000E+00 0 4 14 0 78 57 0 0 11 0 0 2537 288 0 167 8 0 0 0 0 296 175
 2.000000E+00 0 2 16 0 74 51 0 0 9 0 0 2437 357 0 190 16 0 0 0 0 373 206
 2.500000E+00 0 0 16 0 76 42 0 0 15 0 0 2377 392 0 200 31 0 0 0 0 423 231
 3.000000E+00 0 3 21 0 73 29 0 0 12 0 0 2304 451 0 201 44 0 0 0 0 495 245
 3.500000E+00 0 5 29 0 74 25 0 0 15 0 0 2246 503 0 207 44 0 0 0 0 547 251
 4.000000E+00 0 3 35 0 73 22 0 0 11 1 0 2212 545 0 195 48 0 0 0 0 593 243
 4.500000E+00 0 7 39 0 69 20 0 0 9 0 0 2180 583 0 189 48 0 0 0 0 631 237
 5.000000E+00 0 3 45 0 72 14 0 0 14 0 0 2149 623 0 180 48 0 0 0 0 671 228
 5.500000E+00 0 2 50 0 63 14 0 0 7 2 0 2140 649 0 161 50 0 0 0 0 699 211
 6.000000E+00 0 1 57 0 75 11 0 0 15 1 0 2120 672 0 158 50 0 0 0 0 722 208
 6.500000E+00 0 2 58 0 57 10 0 0 9 0 0 2091 706 0 155 48 0 0 0 0 754 203
 7.000000E+00 0 3 63 0 75 6 0 0 7 1 0 2057 746 0 146 51 0 0 0 0 797 197
 7.500000E+00 0 5 69 0 63 5 0 0 8 2 0 2050 761 0 144 45 0 0 0 0 806 189
 8.000000E+00 0 3 71 0 72 5 0 0 10 0 0 2033 787 0 133 47 0 0 0 0 834 180
 8.500000E+00 0 3 79 0 68 2 0 0 7 1 0 2017 813 0 125 45 0 0 0 0 858 170
 9.000000E+00 0 4 84 0 68 2 0 0 9 1 0 2033 817 0 110 40 0 0 0 0 857 150
 9.500000E+00 0 4 86 0 61 2 0 0 7 0 0 2015 845 0 103 37 0 0 0 0 882 140
 1.000000E+01 0 5 91 0 70 1 0 0 7 1 0 2011 867 0 93 29 0 0 0 0 896 122
 1.050000E+01 0 4 94 0 72 0 0 0 4 1 0 2006 875 0 86 33 0 0 0 0 908 119
 1.100000E+01 0 5 93 0 70 1 0 0 6 2 0 1993 891 0 81 35 0 0 0 0 926 116
 1.150000E+01 0 2 92 0 61 1 0 0 7 0 0 1987 900 0 79 34 0 0 0 0 934 113
 1.200000E+01 0 6 98 0 70 1 0 0 5 0 0 1968 930 0 70 32 0 0 0 0 962 102
 1.250000E+01 0 4 104 0 61 1 0 0 7 2 0 1972 931 0 68 29 0 0 0 0 960 97
 1.300000E+01 0 5 113 0 58 1 0 0 3 3 0 1966 944 0 58 32 0 0 0 0 976 90
 1.350000E+01 0 4 116 0 64 3 0 0 3 1 0 1951 963 0 53 33 0 0 0 0 996 86
 1.400000E+01 0 3 117 0 63 2 0 0 5 1 0 1959 962 0 51 28 0 0 0 0 990 79
 1.450000E+01 0 3 117 0 67 1 0 0 3 1 0 1963 960 0 52 25 0 0 0 0 985 77
 1.500000E+01 0 6 116 0 49 1 0 0 6 2 0 1964 966 0 50 20 0 0 0 0 986 70
 1.550000E+01 0 7 113 0 64 2 0 0 4 3 0 1959 979 0 43 19 0 0 0 0 998 62
 1.600000E+01 0 4 120 0 52 2 0 0 3 3 0 1954 988 0 38 20 0 0 0 0 1008 58
 1.650000E+01 0 5 123 0 63 3 0 0 2 1 0 1971 977 0 32 20 0 0 0 0 997 52
 1.700000E+01 0 6 126 0 72 2 0 0 2 2 0 1973 976 0 33 18 0 0 0 0 994 51
 1.750000E+01 0 7 131 0 62 2 0 0 2 1 0 1971 979 0 34 16 0 0 0 0 995 50
 1.800000E+01 0 1 135 0 68 2 0 0 2 5 0 1968 981 0 33 18 0 0 0 0 999 51
 1.850000E+01 0 5 135 0 65 2 0 0 6 6 0 1954 994 0 34 18 0 0 0 0 1012 52
 1.900000E+01 0 3 133 0 58 4 0 0 3 3 0 1964 988 0 33 15 0 0 0 0 1003 48
 1.950000E+01 0 3 137 0 59 3 0 0 2 0 0 1963 990 0 29 18 0 0 0 0 1008 47
 2.000000E+01 0 10 144 0 68 3 0 0 5 0 0 1955 999 0 30 16 0 0 0 0 1015 46
 2.050000E+01 0 6 148 0 59 3 0 0 3 4 0 1948 1007 0 28 17 0 0 0 0 1024 45
 2.100000E+01 0 6 156 0 73 3 0 0 1 4 0 1928 1027 0 26 19 0 0 0 0 1046 45
 2.150000E+01 0 8 157 0 65 3 0 1 1 2 0 1911 1046 0 26 17 0 0 0 0 1063 43
 2.200000E+01 0 3 164 0 66 3 0 1 1 2 0 1929 1032 0 23 16 0 0 0 0 1048 39
 2.250000E+01 0 4 162 0 69 4 0 0 3 6 0 1925 1037 0 20 18 0 0 0 0 1055 38
 2.300000E+01 0 8 163 0 72 5 0 1 4 4 0 1918 1040 0 23 19 0 0 0 0 1059 42
 2.350000E+01 0 4 163 0 67 4 0 1 3 3 0 1908 1047 0 21 24 0 0 0 0 1071 45
 2.400000E+01 0 1 164 0 71 4 0 1 2 3 0 1915 1037 0 21 27 0 0 0 0 1064 48
 2.450000E+01 0 4 164 0 64 3 0 0 4 7 0 1930 1021 0 23 26 0 0 0 0 1047 49
 2.500000E+01 0 8 164 0 69 4 0 0 2 4 0 1907 1049 0 23 21 0 0 0 0 1070 44
 2.550000E+01 0 5 163 0 64 5 0 0 1 3 0 1916 1040 0 25 19 0 0 0 0 1059 44
 2.600000E+01 0 12 174 0 66 7 0 0 2 6 0 1915 1040 0 27 18 0 0 0 0 1058 45
 2.650000E+01 0 6 172 0 70 8 0 0 2 4 0 1918 1036 0 33 13 0 0 0 0 1049 46
 2.700000E+01 0 3 175 0 67 5 0 0 2 2 0 1915 1032 0 38 15 0 0 0 0 1047 53
 2.750000E+01 0 7 177 0 63 6 0 0 3 5 0 1915 1029 0 39 17 0 0 0 0 1046 56
 2.800000E+01 0 7 177 0 68 8 0 0 5 1 0 1883 1053 0 45 19 0 0 0 0 1072 64
 2.850000E+01 0 4 175 0 64 6 0 1 5 3 0 1887 1053 0 44 16 0 0 0 0 1069 60
 2.900000E+01 0 4 179 0 65 10 0 1 10 6 0 1899 1039 0 44 18 0 0 0 0 1057 62
 2.950000E+01 0 4 180 0 64 10 0 0 0 6 0 1897 1040 0 40 23 0 0 0 0 1063 63
 3.000000E+01 0 5 183 0 63 8 0 0 4 3 0 1886 1047 0 45 22 0 0 0 0 1069 67
 3.050000E+01 0 4 184 0 60 10 0 0 2 4 0 1905 1026 0 44 25 0 0 0 0 1051 69
 3.100000E+01 0 6 186 0 60 11 0 0 5 4 0 1906 1029 0 41 24 0 0 0 0 1053 65
 3.150000E+01 0 3 189 0 65 12 0 0 7 7 0 1889 1040 0 47 24 0 0 0 0 1064 71
 3.200000E+01 0 4 191 0 62 9 0 1 4 5 0 1897 1033 0 44 26 0 0 0 0 1059 70
 3.250000E+01 0 6 194 0 72 8 0 0 6 6 0 1883 1045 0 45 27 0 0 0 0 1072 72
 3.300000E+01 0 9 199 0 74 7 0 0 6 5 0 1905 1020 0 47 28 0 0 0 0 1048 75
 3.350000E+01 0 9 199 0 68 6 0 0 2 5 0 1880 1047 0 42 31 0 0 0 0 1078 73
 3.400000E+01 0 5 199 0 67 3 0 0 8 8 0 1886 1041 0 41 32 0 0 0 0 1073 73
 3.450000E+01 0 9 205 0 67 3 0 0 6 5 0 1864 1066 0 42 28 0 0 0 0 1094 70
 3.500000E+01 0 15 207 0 67 3 0 0 4 7 0 1864 1066 0 40 30 0 0 0 0 1096 70
 3.550000E+01 0 9 215 0 56 6 0 0 4 10 0 1885 1048 0 36 31 0 0 0 0 1079 67
 3.600000E+01 0 10 222 0 62 8 0 0 1 7 0 1877 1056 0 37 30 0 0 0 0 1086 67
 3.650000E+01 0 8 224 0 68 11 0 0 8 12 0 1893 1043 0 36 28 0 0 0 0 1071 64
 3.700000E+01 0 6 226 0 56 13 0 0 4 5 0 1885 1037 0 45 33 0 0 0 0 1070 78
 3.750000E+01 0 8 224 0 57 10 0 0 1 11 0 1875 1045 0 47 33 0 0 0 0 1078 80
 3.800000E+01 0 5 225 0 65 11 0 0 4 6 0 1876 1040 0 50 34 0 0 0 0 1074 84
 3.850000E+01 0 5 231 0 53 10 0 0 7 8 0 1878 1032 0 50 40 0 0 0 0 1072 90
 3.900000E+01 0 4 228 0 65 12 0 0 5 9 0 1877 1036 0 53 34 0 0 0 0 1070 87
 3.950000E+01 0 13 227 0 62 12 0 0 3 6 0 1877 1038 0 51 34 0 0 0 0 1072 85
 4.000000E+01 0 8 230 0 60 16 0 0 5 9 0 1859 1059 0 49 33 0 0 0 0 1092 82
 4.050000E+01 0 8 226 0 60 13 0 0 5 8 0 1879 1039 0 47 35 0 0 0 0 1074 82
 4.100000E+01 0 10 230 0 70 14 0 0 3 12 0 1886 1023 0 52 39 0 0 0 0 1062 91
 4.150000E+01 0 11 227 0 56 14 0 0 2 7 0 1888 1021 0 61 30 0 0 0 0 1051 91
 4.200000E+01 0 7 225 0 64 15 0 0 8 6 0 1866 1035 0 68 31 0 0 0 0 1066 99
 4.250000E+01 0 12 224 0 58 15 0 0 3 6 0 1865 1039 0 67 29 0 0 0 0 1068 96
 4.300000E+01 0 6 228 0 63 16 0 0 5 7 0 1863 1033 0 70 34 0 0 0 0 1067 104
 4.350000E+01 0 10 230 0 61 14 0 0 8 12 0 1869 1025 0 69 37 0 0 0 0 1062 106
 4.400000E+01 0 8 228 0 61 12 0 0 6 5 0 1870 1024 0 65 41 0 0 0 0 1065 106
 4.450000E+01 0 3 219 0 66 11 0 0 4 5 0 1858 1036 0 69 37 0 0 0 0 1073 106
 4.500000E+01 0 7 223 0 64 11 0 0 4 8 0 1848 1046 0 70 36 0 0 0 0 1082 106
 4.550000E+01 0 9 227 0 62 11 0 0 5 10 0 1848 1045 0 70 37 0 0 0 0 1082 107
 4.600000E+01 0 6 230 0 69 11 0 0 8 10 0 1852 1036 0 70 42 0 0 0 0 1078 112
 4.650000E+01 0 6 232 0 55 12 0 2 5 7 0 1859 1031 0 67 43 0 0 0 0 1074 110
 4.700000E+01 0 9 234 0 63 15 0 1 4 9 0 1882 1006 0 69 43 0 0 0 0 1049 112
 4.750000E+01 0 10 233 0 64 13 0 1 9 12 0 1878 1006 0 76 40 0 0 0 0 1046 116
 4.800000E+01 0 7 237 0 70 11 0 0 6 9 0 1847 1035 0 77 41 0 0 0 0 1076 118
 4.850000E+01 0 11 237 0 69 11 0 0 5 8 0 1863 1020 0 74 43 0 0 0 0 1063 117
 4.900000E+01 0 10 240 0 68 11 0 0 10 10 0 1854 1026 0 78 42 0 0 0 0 1068 120
 4.950000E+01 0 9 242 0 71 9 0 1 11 6 0 1833 1044 0 81 42 0 0 0 0 1086 123
 5.000000E+01 0 10 239 0 71 14 0 1 7 11 0 1848 1028 0 82 42 0 0 0 0 1070 124
 5.050000E+01 0 6 234 0 55 11 0 0 7 12 0 1845 1027 0 91 37 0 0 0 0 1064 128
 5.100000E+01 0 11 237 0 68 12 0 0 8 4 0 1859 1010 0 92 39 0 0 0 0 1049 131
 5.150000E+01 0 10 238 0 64 11 0 0 4 12 0 1850 1025 0 88 37 0 0 0 0 1062 125
 5.200000E+01 0 5 241 0 69 10 0 0 7 7 0 1851 1029 0 87 33 0 0 0 0 1062 120
 5.250000E+01 0 6 244 0 72 13 0 0 5 11 0 1859 1025 0 79 37 0 0 0 0 1062 116
 5.300000E+01 0 7 249 0 63 17 0 0 9 10 0 1839 1041 0 79 41 0 0 0 0 1082 120
 5.350000E+01 0 9 251 0 59 20 0 0 8 11 0 1848 1026 0 80 46 0 0 0 0 1072 126
 5.400000E+01 0 5 253 0 59 21 0 0 12 8 0 1833 1033 0 83 51 0 0 0 0 1084 134
 5.450000E+01 0 7 251 0 67 19 0 0 10 9 0 1863 999 0 85 53 0 0 0 0 1052 138
 5.500000E+01 0 7 259 0 79 20 0 0 6 10 0 1872 986 0 88 54 0 0 0 0 1040 142
 5.550000E+01 0 4 256 0 62 22 0 0 11 12 0 1863 990 0 94 53 0 0 0 0 1043 147
 5.600000E+01 0 5 249 0 63 19 0 0 8 9 0 1857 986 0 105 52 0 0 0 0 1038 157
 5.650000E+01 0 5 249 0 58 15 0 0 9 12 0 1854 983 0 102 61 0 0 0 0 1044 163
 5.700000E+01 0 11 250 0 64 16 0 1 16 12 0 1853 979 0 106 62 0 0 0 0 1041 168
 5.750000E+01 0 11 248 0 63 14 0 1 7 11 0 1840 993 0 105 62 0 0 0 0 1055 167
 5.800000E+01 0 7 248 0 62 14 0 1 10 11 0 1838 990 0 112 60 0 0 0 0 1050 172
 5.850000E+01 0 9 252 0 68 15 0 1 12 14 0 1837 991 0 117 55 0 0 0 0 1046 172
 5.900000E+01 0 10 247 0 65 16 0 1 12 11 0 1824 997 0 121 58 0 0 0 0 1055 179
 5.950000E+01 0 9 248 0 65 17 0 1 12 13 0 1834 982 0 126 58 0 0 0 0 1040 184
 6.000000E+01 0 8 251 0 79 12 0 1 10 13 0 1848 974 0 119 59 0 0 0 0 1033 178
 6.050000E+01 0 6 251 0 61 18 0 1 6 11 0 1848 970 0 118 64 0 0 0 0 1034 182
 6.100000E+01 0 9 250 0 61 15 0 3 8 14 0 1839 974 0 118 69 0 0 0 0 1043 187
 6.150000E+01 0 13 255 0 71 15 0 2 10 13 0 1837 969 0 118 76 0 0 0 0 1045 194
 6.200000E+01 0 12 253 0 57 15 0 1 4 14 0 1855 955 0 114 76 0 0 0 0 1031 190
 6.250000E+01 0 7 248 0 58 16 0 1 8 7 0 1838 976 0 119 67 0 0 0 0 1043 186
 6.300000E+01 0 9 250 0 69 14 0 1 6 10 0 1832 976 0 124 68 0 0 0 0 1044 192
 6.350000E+01 0 9 248 0 57 13 0 1 16 12 0 1821 994 0 123 62 0 0 0 0 1056 185
 6.400000E+01 0 7 245 0 68 13 0 2 7 9 0 1816 1007 0 122 55 0 0 0 0 1062 177
