# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 3 7 0 73 87 0 0 2 0 0 2823 110 0 65 2 0 0 0 0 112 67
 1.000000E+00 0 1 15 0 72 68 0 0 6 0 0 2683 189 0 121 7 0 0 0 0 196 128
 1.500000E+00 0 1 23 0 81 55 0 0 8 0 0 2575 264 0 148 13 0 0 0 0 277 161
 2.000000E+00 0 2 26 0 74 45 0 0 4 0 0 2469 348 0 166 17 0 0 0 0 365 183
 2.500000E+00 0 6 32 0 68 40 0 0 10 0 0 2381 412 0 181 26 0 0 0 0 438 207
 3.000000E+00 0 4 46 0 65 33 0 0 12 1 0 2313 466 0 190 31 0 0 0 0 497 221
 3.500000E+00 0 5 57 0 79 27 0 0 10 1 0 2263 515 0 187 35 0 0 0 0 550 222
 4.000000E+00 0 2 62 0 74 23 0 0 13 0 0 2253 529 0 179 39 0 0 0 0 568 218
 4.500000E+00 0 2 70 0 63 19 0 0 12 0 0 2211 575 0 178 36 0 0 0 0 611 214
 5.000000E+00 0 2 74 0 73 17 0 0 9 1 0 2171 617 0 167 45 0 0 0 0 662 212
 5.500000E+00 0 3 79 0 75 13 0 0 13 1 0 2149 647 0 158 46 0 0 0 0 693 204
 6.000000E+00 0 4 82 0 65 9 0 0 8 1 0 2136 673 0 140 51 0 0 0 0 724 191
 6.500000E+00 0 6 82 0 71 5 0 0 9 0 0 2110 701 0 133 56 0 0 0 0 757 189
 7.000000E+00 0 3 89 0 72 5 0 0 6 2 0 2100 719 0 133 48 0 0 0 0 767 181
 7.500000E+00 0 4 88 0 68 5 0 0 10 2 0 2061 767 0 126 46 0 0 0 0 813 172
 8.000000E+00 0 5 91 0 74 4 0 0 11 2 0 2034 802 0 119 45 0 0 0 0 847 164
 8.500000E+00 0 5 99 0 67 5 0 0 7 1 0 2039 807 0 110 44 0 0 0 0 851 154
 9.000000E+00 0 4 104 0 62 4 0 0 8 0 0 2006 846 0 103 45 0 0 0 0 891 148
 9.500000E+00 0 4 104 0 66 4 0 0 9 4 0 1995 861 0 98 46 0 0 0 0 907 144
 1.000000E+01 0 4 110 0 67 2 0 0 9 1 0 1996 867 0 93 44 0 0 0 0 911 137
 1.050000E+01 0 6 114 0 75 1 0 0 10 0 0 1996 880 0 88 36 0 0 0 0 916 124
 1.100000E+01 0 3 119 0 73 2 0 0 9 1 0 1973 916 0 80 31 0 0 0 0 947 111
 1.150000E+01 0 4 126 0 63 4 0 0 7 2 0 1969 926 0 76 29 0 0 0 0 955 105
 1.200000E+01 0 4 130 0 70 4 0 0 6 6 0 1993 909 0 72 26 0 0 0 0 935 98
 1.250000E+01 0 4 142 0 68 3 0 0 3 3 0 1990 916 0 67 27 0 0 0 0 943 94
