# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 100 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 6 0 80 79 0 0 5 0 0 2830 100 0 64 6 0 0 0 0 106 70
 1.000000E+00 0 1 13 0 77 60 0 0 4 0 0 2688 193 0 107 12 0 0 0 0 205 119
 1.500000E+00 0 3 25 0 73 51 0 0 8 0 0 2557 294 0 133 16 0 0 0 0 310 149
 2.000000E+00 0 3 37 0 70 43 0 0 7 0 0 2458 372 0 148 22 0 0 0 0 394 170
 2.500000E+00 0 3 39 0 78 37 0 0 10 0 0 2364 447 0 165 24 0 0 0 0 471 189
 3.000000E+00 0 3 49 0 76 31 0 0 8 0 0 2311 490 0 163 36 0 0 0 0 526 199
 3.500000E+00 0 4 56 0 80 26 0 0 12 0 0 2250 544 0 168 38 0 0 0 0 582 206
 4.000000E+00 0 4 58 0 83 19 0 0 14 0 0 2194 590 0 175 41 0 0 0 0 631 216
 4.500000E+00 0 4 62 0 73 16 0 0 7 0 0 2150 637 0 167 46 0 0 0 0 683 213
 5.000000E+00 0 2 64 0 73 11 0 0 11 1 0 2128 662 0 161 49 0 0 0 0 711 210
 5.500000E+00 0 3 69 0 59 9 0 0 12 1 0 2093 701 0 153 53 0 0 0 0 754 206
 6.000000E+00 0 2 70 0 69 9 0 0 13 0 0 2080 718 0 145 57 0 0 0 0 775 202
 6.500000E+00 0 1 77 0 66 8 0 0 10 0 0 2069 736 0 143 52 0 0 0 0 788 195
 7.000000E+00 0 1 81 0 58 7 0 0 5 1 0 2066 754 0 133 47 0 0 0 0 801 180
 7.500000E+00 0 6 89 0 73 6 0 1 13 0 0 2042 782 0 127 49 0 0 0 0 831 176
 8.000000E+00 0 4 96 0 70 5 0 0 8 0 0 2018 818 0 119 45 0 0 0 0 863 164
 8.500000E+00 0 2 96 0 64 4 0 0 7 2 0 1984 866 0 106 44 0 0 0 0 910 150
 9.000000E+00 0 3 101 0 69 3 0 0 8 2 0 1987 872 0 97 44 0 0 0 0 916 141
 9.500000E+00 0 5 104 0 70 3 0 1 9 1 0 1971 895 0 92 42 0 0 0 0 937 134
 1.000000E+01 0 0 109 0 72 4 0 1 8 2 0 1979 890 0 88 43 0 0 0 0 933 131
 1.050000E+01 0 4 113 0 72 4 0 1 10 0 0 1987 886 0 85 42 0 0 0 0 928 127
 1.100000E+01 0 3 122 0 72 3 0 1 7 1 0 1983 896 0 79 42 0 0 0 0 938 121
 1.150000E+01 0 4 126 0 74 2 0 0 11 2 0 1956 929 0 72 43 0 0 0 0 972 115
 1.200000E+01 0 5 131 0 67 2 0 0 8 5 0 1956 937 0 66 41 0 0 0 0 978 107
 1.250000E+01 0 6 131 0 65 2 0 1 4 2 0 1979 920 0 60 41 0 0 0 0 961 101
 1.300000E+01 0 7 133 0 70 2 0 0 4 2 0 1983 923 0 57 37 0 0 0 0 960 94
 1.350000E+01 0 5 131 0 57 3 0 0 8 0 0 1970 937 0 56 37 0 0 0 0 974 93
 1.400000E+01 0 1 141 0 64 3 0 0 9 4 0 1964 948 0 50 38 0 0 0 0 986 88
 1.450000E+01 0 4 150 0 66 3 0 0 7 1 0 1965 950 0 47 38 0 0 0 0 988 85
 1.500000E+01 0 6 152 0 69 4 0 0 6 1 0 1979 942 0 46 33 0 0 0 0 975 79
 1.550000E+01 0 2 158 0 69 3 0 0 3 1 0 1986 939 0 46 29 0 0 0 0 968 75
 1.600000E+01 0 6 164 0 70 3 0 0 8 3 0 1979 952 0 42 27 0 0 0 0 979 69
 1.650000E+01 0 7 165 0 67 2 0 0 1 2 0 1982 957 0 34 27 0 0 0 0 984 61
 1.700000E+01 0 5 167 0 63 2 0 0 4 6 0 1986 955 0 38 21 0 0 0 0 976 59
 1.750000E+01 0 6 170 0 71 3 0 0 4 5 0 1978 966 0 36 20 0 0 0 0 986 56
 1.800000E+01 0 5 166 0 72 4 0 1 3 5 0 1967 974 0 37 22 0 0 0 0 996 59
 1.850000E+01 0 4 172 0 68 3 0 0 4 5 0 1986 952 0 36 26 0 0 0 0 978 62
 1.900000E+01 0 2 174 0 66 7 0 0 4 7 0 1972 971 0 33 24 0 0 0 0 995 57
 1.950000E+01 0 9 179 0 64 6 0 0 2 4 0 1941 1007 0 31 21 0 0 0 0 1028 52
 2.000000E+01 0 6 180 0 66 7 0 0 3 6 0 1951 996 0 32 21 0 0 0 0 1017 53
