# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 4 0 0 81 0 0 0 0 0 0 2893 107 0 0 0 0 0 0 0 107 0
 1.000000E+00 0 1 9 8 0 0 76 0 0 0 0 0 0 2788 212 0 0 0 0 0 0 0 212 0
 1.500000E+00 0 4 10 6 0 0 71 0 0 0 0 0 0 2694 306 0 0 0 0 0 0 0 306 0
 2.000000E+00 0 3 15 12 0 0 77 0 0 0 0 0 0 2612 388 0 0 0 0 0 0 0 388 0
 2.500000E+00 0 1 17 16 0 0 77 0 0 0 0 0 0 2526 474 0 0 0 0 0 0 0 474 0
 3.000000E+00 0 1 19 18 0 0 68 0 0 0 0 0 0 2485 515 0 0 0 0 0 0 0 515 0
 3.500000E+00 0 3 25 22 0 0 71 0 0 0 0 0 0 2442 558 0 0 0 0 0 0 0 558 0
 4.000000E+00 0 2 28 26 0 0 72 0 0 0 0 0 0 2418 582 0 0 0 0 0 0 0 582 0
 4.500000E+00 0 3 33 30 0 0 69 0 0 0 0 0 0 2351 649 0 0 0 0 0 0 0 649 0
 5.000000E+00 0 0 38 38 0 0 71 0 0 0 0 0 0 2310 690 0 0 0 0 0 0 0 690 0
 5.500000E+00 0 2 42 40 0 0 74 0 0 0 0 0 0 2283 717 0 0 0 0 0 0 0 717 0
 6.000000E+00 0 4 48 44 0 0 72 0 0 0 0 0 0 2264 736 0 0 0 0 0 0 0 736 0
 6.500000E+00 0 3 51 48 0 0 64 0 0 0 0 0 0 2228 772 0 0 0 0 0 0 0 772 0
 7.000000E+00 0 2 56 54 0 0 66 0 0 0 0 0 0 2189 811 0 0 0 0 0 0 0 811 0
 7.500000E+00 0 5 59 54 0 0 75 0 0 0 0 0 0 2175 825 0 0 0 0 0 0 0 825 0
 8.000000E+00 0 5 59 54 0 0 72 0 0 0 0 0 0 2144 856 0 0 0 0 0 0 0 856 0
 8.500000E+00 0 3 59 56 0 0 65 0 0 0 0 0 0 2117 883 0 0 0 0 0 0 0 883 0
 9.000000E+00 0 2 62 60 0 0 62 0 0 0 0 0 0 2099 901 0 0 0 0 0 0 0 901 0
