# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 2 2 0 75 0 0 0 0 0 0 2897 103 0 0 0 0 0 0 0 103 0
 1.000000E+00 0 2 8 0 78 0 0 0 0 0 0 2780 220 0 0 0 0 0 0 0 220 0
 1.500000E+00 0 1 12 0 76 0 0 1 0 0 0 2694 306 0 0 0 0 0 0 0 306 0
 2.000000E+00 0 2 17 0 73 0 0 1 0 0 0 2624 376 0 0 0 0 0 0 0 376 0
 2.500000E+00 0 0 22 0 73 0 0 0 0 0 0 2563 437 0 0 0 0 0 0 0 437 0
 3.000000E+00 0 2 28 0 74 0 0 0 0 0 0 2491 509 0 0 0 0 0 0 0 509 0
 3.500000E+00 0 2 38 0 72 0 0 0 0 0 0 2438 562 0 0 0 0 0 0 0 562 0
 4.000000E+00 0 2 40 0 67 0 0 0 0 0 0 2369 631 0 0 0 0 0 0 0 631 0
 4.500000E+00 0 3 47 0 66 1 0 0 0 3 0 2332 668 0 0 0 0 0 0 0 668 0
 5.000000E+00 0 5 53 0 67 1 0 0 0 0 0 2303 696 0 1 0 0 0 0 0 696 1
 5.500000E+00 0 0 52 0 74 1 0 0 0 2 0 2268 731 0 1 0 0 0 0 0 731 1
 6.000000E+00 0 3 57 0 70 1 0 0 0 0 0 2250 749 0 1 0 0 0 0 0 749 1
 6.500000E+00 0 3 63 0 65 1 0 0 0 0 0 2230 768 0 2 0 0 0 0 0 768 2
 7.000000E+00 0 3 73 0 75 1 0 0 0 0 0 2212 785 0 3 0 0 0 0 0 785 3
 7.500000E+00 0 4 72 0 64 0 0 0 0 0 0 2180 818 0 1 1 0 0 0 0 819 2
 8.000000E+00 0 3 77 0 57 0 0 0 0 0 0 2156 842 0 1 1 0 0 0 0 843 2
 8.500000E+00 0 3 85 0 72 0 0 0 1 2 0 2127 871 0 1 1 0 0 0 0 872 2
 9.000000E+00 0 4 84 0 70 0 0 0 0 0 0 2102 897 0 0 1 0 0 0 0 898 1
 9.500000E+00 0 7 95 0 68 0 0 0 0 1 0 2075 924 0 1 0 0 0 0 0 924 1
 1.000000E+01 0 4 108 0 58 1 0 0 0 1 0 2073 926 0 1 0 0 0 0 0 926 1
 1.050000E+01 0 3 110 0 65 3 0 1 0 2 0 2071 924 0 4 1 0 0 0 0 925 5
 1.100000E+01 0 4 109 0 55 3 0 1 0 2 0 2059 934 0 5 2 0 0 0 0 936 7
 1.150000E+01 0 6 112 0 66 3 0 0 1 1 0 2055 936 0 7 2 0 0 0 0 938 9
 1.200000E+01 0 7 118 0 66 4 0 1 0 2 0 2057 936 0 6 1 0 0 0 0 937 7
 1.250000E+01 0 4 120 0 75 2 0 0 0 2 0 2034 954 0 11 1 0 0 0 0 955 12
 1.300000E+01 0 8 126 0 71 3 0 0 2 1 0 2030 954 0 14 2 0 0 0 0 956 16
 1.350000E+01 0 4 134 0 66 2 0 0 1 2 0 2002 981 0 15 2 0 0 0 0 983 17
 1.400000E+01 0 1 133 0 60 1 0 0 1 1 0 1998 984 0 17 1 0 0 0 0 985 18
 1.450000E+01 0 3 133 0 61 0 0 0 0 1 0 2004 978 0 16 2 0 0 0 0 980 18
 1.500000E+01 0 4 138 0 62 0 0 0 0 2 0 2010 977 0 11 2 0 0 0 0 979 13
 1.550000E+01 0 3 135 0 57 0 0 0 1 2 0 2024 965 0 10 1 0 0 0 0 966 11
 1.600000E+01 0 2 136 0 62 1 0 0 0 3 0 2033 958 0 7 2 0 0 0 0 960 9
 1.650000E+01 0 3 137 0 62 2 0 0 0 5 0 2028 963 0 8 1 0 0 0 0 964 9
 1.700000E+01 0 6 138 0 61 2 0 0 1 2 0 2020 969 0 10 1 0 0 0 0 970 11
 1.750000E+01 0 4 140 0 76 2 0 0 0 3 0 2009 976 0 12 3 0 0 0 0 979 15
 1.800000E+01 0 6 143 0 64 2 0 1 3 3 0 2005 979 0 12 4 0 0 0 0 983 16
 1.850000E+01 0 4 145 0 58 3 0 1 1 2 0 2012 971 0 13 4 0 0 0 0 975 17
 1.900000E+01 0 10 151 0 60 2 0 1 4 2 0 2008 976 0 11 5 0 0 0 0 981 16
 1.950000E+01 0 5 151 0 64 5 0 0 4 3 0 2013 970 0 12 5 0 0 0 0 975 17
 2.000000E+01 0 2 147 0 52 5 0 1 1 6 0 2013 966 0 13 8 0 0 0 0 974 21
 2.050000E+01 0 5 152 0 71 3 0 1 3 5 0 2021 960 0 12 7 0 0 0 0 967 19
 2.100000E+01 0 8 156 0 62 3 0 0 0 4 0 1999 983 0 10 8 0 0 0 0 991 18
 2.150000E+01 0 4 158 0 70 5 0 0 0 5 0 1985 991 0 15 9 0 0 0 0 1000 24
 2.200000E+01 0 5 159 0 65 3 0 0 1 4 0 1973 999 0 17 11 0 0 0 0 1010 28
 2.250000E+01 0 8 164 0 61 3 0 0 0 4 0 1971 1001 0 18 10 0 0 0 0 1011 28
 2.300000E+01 0 5 165 0 71 4 0 0 2 6 0 2004 968 0 17 11 0 0 0 0 979 28
 2.350000E+01 0 5 169 0 71 5 0 0 0 3 0 2002 967 0 16 15 0 0 0 0 982 31
 2.400000E+01 0 8 176 0 69 6 0 0 1 5 0 1987 979 0 19 15 0 0 0 0 994 34
 2.450000E+01 0 6 180 0 66 5 0 0 0 4 0 1970 993 0 23 14 0 0 0 0 1007 37
 2.500000E+01 0 5 183 0 65 6 0 0 1 1 0 1983 982 0 22 13 0 0 0 0 995 35
 2.550000E+01 0 9 187 0 70 7 0 0 1 3 0 1983 979 0 21 17 0 0 0 0 996 38
 2.600000E+01 0 6 192 0 54 7 0 0 2 6 0 1983 976 0 19 22 0 0 0 0 998 41
 2.650000E+01 0 10 196 0 62 9 0 0 3 6 0 1984 971 0 22 23 0 0 0 0 994 45
 2.700000E+01 0 5 199 0 62 8 0 0 1 6 0 1952 1004 0 24 20 0 0 0 0 1024 44
 2.750000E+01 0 5 201 0 76 7 0 0 5 4 0 1926 1025 0 25 24 0 0 0 0 1049 49
 2.800000E+01 0 6 202 0 72 9 0 0 3 7 0 1915 1032 0 27 26 0 0 0 0 1058 53
 2.850000E+01 0 3 207 0 69 15 0 0 4 10 0 1909 1036 0 30 25 0 0 0 0 1061 55
 2.900000E+01 0 9 215 0 61 16 0 0 4 9 0 1899 1036 0 35 30 0 0 0 0 1066 65
 2.950000E+01 0 5 213 0 66 18 0 0 3 10 0 1904 1028 0 36 32 0 0 0 0 1060 68
 3.000000E+01 0 6 216 0 57 16 0 0 2 5 0 1875 1048 0 44 33 0 0 0 0 1081 77
 3.050000E+01 0 8 214 0 60 18 0 0 4 8 0 1863 1049 0 53 35 0 0 0 0 1084 88
 3.100000E+01 0 8 214 0 65 20 0 0 3 8 0 1850 1049 0 55 46 0 0 0 0 1095 101
 3.150000E+01 0 2 212 0 64 17 0 0 6 9 0 1851 1039 0 64 46 0 0 0 0 1085 110
 3.200000E+01 0 6 210 0 70 18 0 0 11 6 0 1831 1053 0 70 46 0 0 0 0 1099 116
 3.250000E+01 0 8 210 0 56 16 0 0 5 6 0 1814 1062 0 79 45 0 0 0 0 1107 124
 3.300000E+01 0 9 213 0 66 16 0 0 12 5 0 1824 1054 0 74 48 0 0 0 0 1102 122
 3.350000E+01 0 12 212 0 55 13 0 0 4 8 0 1820 1056 0 76 48 0 0 0 0 1104 124
 3.400000E+01 0 8 216 0 69 11 0 0 9 5 0 1835 1039 0 77 49 0 0 0 0 1088 126
 3.450000E+01 0 5 213 0 61 12 0 0 10 7 0 1829 1049 0 77 45 0 0 0 0 1094 122
 3.500000E+01 0 4 211 0 68 11 0 1 10 10 0 1835 1040 0 86 39 0 0 0 0 1079 125
 3.550000E+01 0 5 212 0 60 8 0 1 6 7 0 1841 1034 0 91 34 0 0 0 0 1068 125
 3.600000E+01 0 9 217 0 73 12 0 0 17 7 0 1857 1023 0 87 33 0 0 0 0 1056 120
 3.650000E+01 0 10 216 0 75 14 0 0 3 3 0 1877 1004 0 85 34 0 0 0 0 1038 119
 3.700000E+01 0 5 211 0 60 13 0 0 6 10 0 1878 996 0 88 38 0 0 0 0 1034 126
 3.750000E+01 0 10 214 0 63 12 0 0 7 6 0 1860 1018 0 88 34 0 0 0 0 1052 122
 3.800000E+01 0 5 211 0 71 13 0 0 3 6 0 1867 1008 0 87 38 0 0 0 0 1046 125
 3.850000E+01 0 5 215 0 65 11 0 0 9 7 0 1875 1000 0 82 43 0 0 0 0 1043 125
 3.900000E+01 0 5 221 0 63 11 0 0 11 5 0 1863 1012 0 77 48 0 0 0 0 1060 125
 3.950000E+01 0 7 229 0 64 11 0 0 10 9 0 1844 1024 0 78 54 0 0 0 0 1078 132
 4.000000E+01 0 9 221 0 58 12 0 0 6 8 0 1856 1007 0 84 53 0 0 0 0 1060 137
 4.050000E+01 0 5 222 0 60 12 0 1 10 10 0 1858 1000 0 87 55 0 0 0 0 1055 142
 4.100000E+01 0 4 216 0 65 12 0 0 9 4 0 1840 1017 0 89 54 0 0 0 0 1071 143
 4.150000E+01 0 6 220 0 63 11 0 0 7 7 0 1841 1016 0 93 50 0 0 0 0 1066 143
 4.200000E+01 0 8 225 0 70 16 0 1 8 10 0 1832 1022 0 93 53 0 0 0 0 1075 146
 4.250000E+01 0 6 222 0 59 19 0 0 10 6 0 1838 1015 0 96 51 0 0 0 0 1066 147
 4.300000E+01 0 7 225 0 68 17 0 0 10 11 0 1835 1018 0 100 47 0 0 0 0 1065 147
 4.350000E+01 0 7 232 0 59 17 0 1 10 11 0 1846 1003 0 100 51 0 0 0 0 1054 151
 4.400000E+01 0 7 233 0 66 17 0 0 11 10 0 1841 1003 0 101 55 0 0 0 0 1058 156
 4.450000E+01 0 10 232 0 76 20 0 0 6 13 0 1836 1005 0 105 54 0 0 0 0 1059 159
 4.500000E+01 0 7 233 0 65 19 0 0 10 9 0 1813 1019 0 114 54 0 0 0 0 1073 168
 4.550000E+01 0 9 237 0 63 18 0 0 8 9 0 1824 1010 0 115 51 0 0 0 0 1061 166
 4.600000E+01 0 8 236 0 73 20 0 0 8 12 0 1823 1010 0 113 54 0 0 0 0 1064 167
 4.650000E+01 0 17 243 0 65 21 0 0 8 5 0 1812 1008 0 122 58 0 0 0 0 1066 180
 4.700000E+01 0 3 245 0 65 18 0 0 9 13 0 1782 1038 0 117 63 0 0 0 0 1101 180
 4.750000E+01 0 11 247 0 67 18 0 0 9 4 0 1785 1040 0 115 60 0 0 0 0 1100 175
 4.800000E+01 0 5 247 0 71 19 0 0 11 11 0 1833 997 0 112 58 0 0 0 0 1055 170
 4.850000E+01 0 15 245 0 56 22 0 0 9 9 0 1827 996 0 113 64 0 0 0 0 1060 177
 4.900000E+01 0 11 243 0 74 17 0 0 10 9 0 1829 992 0 113 66 0 0 0 0 1058 179
 4.950000E+01 0 8 242 0 66 16 0 0 10 15 0 1824 999 0 112 65 0 0 0 0 1064 177
 5.000000E+01 0 9 241 0 60 12 0 0 7 11 0 1844 986 0 107 63 0 0 0 0 1049 170
 5.050000E+01 0 10 240 0 69 15 0 0 12 10 0 1848 989 0 101 62 0 0 0 0 1051 163
 5.100000E+01 0 9 241 0 69 15 0 0 8 6 0 1849 992 0 102 57 0 0 0 0 1049 159
 5.150000E+01 0 8 238 0 73 15 0 0 3 9 0 1845 1000 0 99 56 0 0 0 0 1056 155
 5.200000E+01 0 8 230 0 68 15 0 0 12 8 0 1862 977 0 100 61 0 0 0 0 1038 161
 5.250000E+01 0 12 228 0 66 10 0 0 6 9 0 1867 976 0 97 60 0 0 0 0 1036 157
 5.300000E+01 0 7 225 0 69 12 0 0 8 12 0 1836 1006 0 96 62 0 0 0 0 1068 158
 5.350000E+01 0 8 224 0 73 10 0 0 6 8 0 1829 1013 0 103 55 0 0 0 0 1068 158
 5.400000E+01 0 10 224 0 63 12 0 0 11 9 0 1827 1024 0 103 46 0 0 0 0 1070 149
 5.450000E+01 0 10 224 0 71 11 0 0 7 10 0 1818 1039 0 98 45 0 0 0 0 1084 143
 5.500000E+01 0 8 228 0 63 11 0 0 5 12 0 1825 1038 0 96 41 0 0 0 0 1079 137
 5.550000E+01 0 7 237 0 61 15 0 0 4 12 0 1840 1020 0 94 46 0 0 0 0 1066 140
 5.600000E+01 0 5 243 0 72 16 0 0 12 8 0 1858 1005 0 89 48 0 0 0 0 1053 137
 5.650000E+01 0 9 247 0 61 19 0 0 11 13 0 1859 1004 0 95 42 0 0 0 0 1046 137
 5.700000E+01 0 10 242 0 68 20 0 0 8 12 0 1852 1011 0 98 39 0 0 0 0 1050 137
 5.750000E+01 0 6 242 0 61 21 0 0 11 7 0 1835 1013 0 107 45 0 0 0 0 1058 152
 5.800000E+01 0 9 241 0 66 20 0 0 11 5 0 1834 1003 0 112 51 0 0 0 0 1054 163
 5.850000E+01 0 9 241 0 67 20 0 0 14 8 0 1817 1014 0 115 54 0 0 0 0 1068 169
 5.900000E+01 0 8 242 0 62 12 0 0 11 10 0 1827 998 0 122 53 0 0 0 0 1051 175
 5.950000E+01 0 7 241 0 68 12 0 0 8 14 0 1853 974 0 125 48 0 0 0 0 1022 173
 6.000000E+01 0 7 237 0 65 15 0 0 10 10 0 1846 978 0 121 55 0 0 0 0 1033 176
