# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 74 0 0 0 0 0 0 2882 118 0 0 0 0 0 0 0 118 0
 1.000000E+00 0 1 9 0 74 0 0 0 0 0 0 2798 202 0 0 0 0 0 0 0 202 0
 1.500000E+00 0 1 15 0 73 0 0 0 0 0 0 2721 279 0 0 0 0 0 0 0 279 0
 2.000000E+00 0 4 22 0 68 0 0 0 0 0 0 2646 354 0 0 0 0 0 0 0 354 0
 2.500000E+00 0 2 24 0 74 0 0 0 0 0 0 2568 432 0 0 0 0 0 0 0 432 0
 3.000000E+00 0 1 29 0 67 0 0 0 0 0 0 2507 493 0 0 0 0 0 0 0 493 0
 3.500000E+00 0 3 35 0 68 0 0 0 0 0 0 2442 558 0 0 0 0 0 0 0 558 0
 4.000000E+00 0 5 39 0 63 0 0 0 0 1 0 2399 601 0 0 0 0 0 0 0 601 0
 4.500000E+00 0 5 43 0 73 1 0 0 0 3 0 2340 660 0 0 0 0 0 0 0 660 0
 5.000000E+00 0 3 49 0 75 1 0 0 0 0 0 2301 698 0 1 0 0 0 0 0 698 1
 5.500000E+00 0 1 54 0 66 0 0 1 0 1 0 2260 739 0 0 1 0 0 0 0 740 1
 6.000000E+00 0 3 66 0 74 0 0 1 0 0 0 2220 779 0 0 1 0 0 0 0 780 1
 6.500000E+00 0 4 73 0 70 0 0 1 0 2 0 2209 790 0 0 1 0 0 0 0 791 1
 7.000000E+00 0 3 77 0 64 0 0 0 0 2 0 2173 826 0 0 1 0 0 0 0 827 1
 7.500000E+00 0 4 78 0 62 1 0 0 0 0 0 2139 861 0 0 0 0 0 0 0 861 0
 8.000000E+00 0 5 83 0 70 1 0 0 0 0 0 2094 906 0 0 0 0 0 0 0 906 0
 8.500000E+00 0 3 93 0 65 1 0 0 0 1 0 2082 917 0 1 0 0 0 0 0 917 1
 9.000000E+00 0 1 97 0 56 1 0 0 0 0 0 2047 952 0 1 0 0 0 0 0 952 1
 9.500000E+00 0 8 98 0 81 1 0 0 0 1 0 2021 978 0 1 0 0 0 0 0 978 1
 1.000000E+01 0 5 99 0 65 1 0 0 0 0 0 1998 998 0 1 3 0 0 0 0 1001 4
 1.050000E+01 0 5 101 0 64 1 0 0 1 3 0 1979 1016 0 2 3 0 0 0 0 1019 5
 1.100000E+01 0 6 100 0 59 2 0 0 1 0 0 1985 1007 0 5 3 0 0 0 0 1010 8
 1.150000E+01 0 5 107 0 55 2 0 0 0 2 0 1991 1001 0 4 4 0 0 0 0 1005 8
 1.200000E+01 0 8 110 0 65 2 0 0 1 1 0 1979 1014 0 4 3 0 0 0 0 1017 7
 1.250000E+01 0 5 119 0 69 2 0 0 0 3 0 1962 1029 0 5 4 0 0 0 0 1033 9
 1.300000E+01 0 3 129 0 67 2 0 0 0 2 0 1960 1029 0 6 5 0 0 0 0 1034 11
 1.350000E+01 0 3 135 0 60 3 0 0 0 2 0 1942 1049 0 3 6 0 0 0 0 1055 9
 1.400000E+01 0 4 138 0 78 3 0 0 0 2 0 1943 1048 0 4 5 0 0 0 0 1053 9
 1.450000E+01 0 3 143 0 65 3 0 0 0 6 0 1918 1073 0 6 3 0 0 0 0 1076 9
 1.500000E+01 0 6 150 0 69 4 0 0 1 4 0 1923 1068 0 7 2 0 0 0 0 1070 9
 1.550000E+01 0 8 150 0 59 4 0 0 1 4 0 1907 1083 0 7 3 0 0 0 0 1086 10
 1.600000E+01 0 8 150 0 70 2 0 0 1 4 0 1902 1084 0 8 6 0 0 0 0 1090 14
 1.650000E+01 0 7 149 0 67 2 0 0 0 6 0 1900 1086 0 8 6 0 0 0 0 1092 14
 1.700000E+01 0 5 145 0 62 4 0 0 0 5 0 1901 1080 0 10 9 0 0 0 0 1089 19
 1.750000E+01 0 8 148 0 60 4 0 0 0 4 0 1885 1092 0 14 9 0 0 0 0 1101 23
 1.800000E+01 0 6 148 0 65 4 0 0 0 2 0 1862 1110 0 21 7 0 0 0 0 1117 28
 1.850000E+01 0 4 152 0 64 4 0 0 1 4 0 1868 1106 0 16 10 0 0 0 0 1116 26
 1.900000E+01 0 7 161 0 62 4 0 0 1 5 0 1876 1100 0 15 9 0 0 0 0 1109 24
 1.950000E+01 0 10 160 0 65 4 0 0 2 2 0 1895 1079 0 17 9 0 0 0 0 1088 26
 2.000000E+01 0 9 159 0 59 3 0 0 2 1 0 1892 1079 0 20 9 0 0 0 0 1088 29
 2.050000E+01 0 4 166 0 61 5 0 0 2 6 0 1919 1055 0 17 9 0 0 0 0 1064 26
 2.100000E+01 0 5 165 0 63 6 0 0 1 4 0 1929 1043 0 20 8 0 0 0 0 1051 28
 2.150000E+01 0 8 171 0 71 7 0 1 1 8 0 1917 1052 0 22 9 0 0 0 0 1061 31
 2.200000E+01 0 5 171 0 63 7 0 0 2 5 0 1908 1054 0 26 12 0 0 0 0 1066 38
 2.250000E+01 0 7 179 0 67 9 0 0 1 6 0 1913 1049 0 27 11 0 0 0 0 1060 38
 2.300000E+01 0 6 184 0 63 10 0 0 7 7 0 1903 1055 0 28 14 0 0 0 0 1069 42
 2.350000E+01 0 10 190 0 61 10 0 2 1 1 0 1882 1073 0 31 14 0 0 0 0 1087 45
 2.400000E+01 0 7 193 0 58 10 0 2 2 7 0 1882 1070 0 32 16 0 0 0 0 1086 48
 2.450000E+01 0 2 192 0 63 10 0 2 2 2 0 1866 1077 0 38 19 0 0 0 0 1096 57
 2.500000E+01 0 8 198 0 66 9 0 2 5 8 0 1888 1052 0 41 19 0 0 0 0 1071 60
 2.550000E+01 0 6 198 0 64 10 0 0 3 3 0 1891 1045 0 44 20 0 0 0 0 1065 64
 2.600000E+01 0 4 202 0 61 12 0 0 1 5 0 1873 1058 0 47 22 0 0 0 0 1080 69
 2.650000E+01 0 5 207 0 57 12 0 0 5 8 0 1865 1065 0 48 22 0 0 0 0 1087 70
 2.700000E+01 0 11 213 0 57 13 0 0 4 8 0 1896 1032 0 48 24 0 0 0 0 1056 72
 2.750000E+01 0 4 214 0 69 16 0 0 10 7 0 1898 1019 0 56 27 0 0 0 0 1046 83
