# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 0 85 0 0 0 0 0 0 2898 102 0 0 0 0 0 0 0 102 0
 1.000000E+00 0 0 6 0 0 68 0 0 0 0 0 0 2800 200 0 0 0 0 0 0 0 200 0
 1.500000E+00 0 2 6 0 0 66 0 0 0 0 0 0 2732 268 0 0 0 0 0 0 0 268 0
 2.000000E+00 0 1 7 0 0 64 0 0 0 0 0 0 2646 354 0 0 0 0 0 0 0 354 0
 2.500000E+00 0 2 8 0 0 72 0 0 0 0 0 0 2576 424 0 0 0 0 0 0 0 424 0
 3.000000E+00 0 3 13 0 0 72 0 0 0 0 0 0 2523 477 0 0 0 0 0 0 0 477 0
 3.500000E+00 0 1 13 0 0 69 0 0 0 0 0 0 2464 536 0 0 0 0 0 0 0 536 0
 4.000000E+00 0 5 15 0 0 73 0 0 0 0 0 0 2401 599 0 0 0 0 0 0 0 599 0
 4.500000E+00 0 0 14 0 0 78 0 0 0 0 0 0 2387 613 0 0 0 0 0 0 0 613 0
 5.000000E+00 0 2 18 0 0 78 0 0 0 0 0 0 2346 654 0 0 0 0 0 0 0 654 0
 5.500000E+00 0 2 20 0 0 65 0 0 0 0 0 0 2317 683 0 0 0 0 0 0 0 683 0
 6.000000E+00 0 3 23 0 0 69 1 0 0 0 0 0 2248 751 0 1 0 0 0 0 0 751 1
 6.500000E+00 0 1 25 0 0 58 0 0 0 0 0 0 2222 777 0 1 0 0 0 0 0 777 1
 7.000000E+00 0 0 29 0 0 63 0 0 1 0 1 0 2195 804 0 1 0 0 0 0 0 804 1
 7.500000E+00 0 3 30 0 0 67 0 0 1 0 0 0 2193 806 0 1 0 0 0 0 0 806 1
 8.000000E+00 0 2 33 0 0 63 0 0 1 0 0 0 2183 816 0 1 0 0 0 0 0 816 1
 8.500000E+00 0 3 39 0 0 58 0 0 0 0 0 0 2157 842 0 1 0 0 0 0 0 842 1
 9.000000E+00 0 3 43 0 0 74 0 0 0 0 0 0 2125 874 0 1 0 0 0 0 0 874 1
 9.500000E+00 0 4 44 0 0 65 0 0 0 1 1 0 2095 904 0 1 0 0 0 0 0 904 1
 1.000000E+01 0 4 44 0 0 73 0 0 0 0 0 0 2092 907 0 1 0 0 0 0 0 907 1
 1.050000E+01 0 1 47 0 0 62 0 0 0 0 0 0 2076 923 0 1 0 0 0 0 0 923 1
 1.100000E+01 0 4 46 0 0 59 0 0 0 1 0 0 2040 959 0 1 0 0 0 0 0 959 1
 1.150000E+01 0 5 49 0 0 64 0 0 0 0 0 0 2032 967 0 1 0 0 0 0 0 967 1
 1.200000E+01 0 2 50 0 0 68 0 0 0 0 1 0 2037 962 0 1 0 0 0 0 0 962 1
 1.250000E+01 0 3 49 0 0 65 0 0 0 0 0 0 2059 940 0 1 0 0 0 0 0 940 1
 1.300000E+01 0 10 54 0 0 57 0 0 0 0 1 0 2050 949 0 1 0 0 0 0 0 949 1
 1.350000E+01 0 1 55 0 0 71 0 0 0 0 0 0 2027 972 0 1 0 0 0 0 0 972 1
 1.400000E+01 0 2 56 0 0 63 0 0 0 0 0 0 2021 978 0 1 0 0 0 0 0 978 1
 1.450000E+01 0 2 56 0 0 75 0 0 0 0 0 0 2008 991 0 1 0 0 0 0 0 991 1
 1.500000E+01 0 4 58 0 0 64 0 0 0 0 1 0 1991 1008 0 1 0 0 0 0 0 1008 1
 1.550000E+01 0 2 60 0 0 69 0 0 0 0 0 0 1956 1043 0 1 0 0 0 0 0 1043 1
 1.600000E+01 0 5 63 0 0 65 0 0 0 1 0 0 1967 1032 0 1 0 0 0 0 0 1032 1
 1.650000E+01 0 5 63 0 0 63 1 0 0 0 1 0 1962 1037 0 1 0 0 0 0 0 1037 1
 1.700000E+01 0 1 65 0 0 59 1 0 0 0 0 0 1958 1040 0 2 0 0 0 0 0 1040 2
 1.750000E+01 0 2 70 0 0 66 1 0 0 0 0 0 1946 1051 0 3 0 0 0 0 0 1051 3
 1.800000E+01 0 5 73 0 0 66 1 0 0 0 0 0 1930 1066 0 3 1 0 0 0 0 1067 4
 1.850000E+01 0 1 75 0 0 56 1 0 0 0 3 0 1928 1067 0 4 1 0 0 0 0 1068 5
 1.900000E+01 0 6 76 0 0 65 2 0 0 1 1 0 1951 1044 0 4 1 0 0 0 0 1045 5
 1.950000E+01 0 4 76 0 0 64 4 0 0 1 0 0 1953 1038 0 7 2 0 0 0 0 1040 9
 2.000000E+01 0 2 80 0 0 73 3 0 0 1 0 0 1947 1041 0 9 3 0 0 0 0 1044 12
 2.050000E+01 0 1 81 0 0 72 3 0 0 1 1 0 1947 1037 0 11 5 0 0 0 0 1042 16
 2.100000E+01 0 5 81 0 0 64 3 0 0 1 3 0 1942 1043 0 11 4 0 0 0 0 1047 15
 2.150000E+01 0 8 82 0 0 77 3 0 0 2 0 0 1929 1051 0 13 7 0 0 0 0 1058 20
 2.200000E+01 0 1 83 0 0 62 3 0 0 2 2 0 1929 1053 0 13 5 0 0 0 0 1058 18
 2.250000E+01 0 2 84 0 0 56 3 0 0 0 0 0 1929 1052 0 11 8 0 0 0 0 1060 19
 2.300000E+01 0 0 86 0 0 66 3 0 0 0 1 0 1932 1046 0 11 11 0 0 0 0 1057 22
 2.350000E+01 0 3 87 0 0 70 3 0 0 0 1 0 1954 1024 0 13 9 0 0 0 0 1033 22
 2.400000E+01 0 1 89 0 0 66 3 0 0 1 0 0 1964 1014 0 13 9 0 0 0 0 1023 22
 2.450000E+01 0 3 89 0 0 65 3 0 0 2 0 0 1969 1007 0 14 10 0 0 0 0 1017 24
 2.500000E+01 0 7 91 0 0 61 2 0 0 1 0 0 1959 1017 0 16 8 0 0 0 0 1025 24
 2.550000E+01 0 8 90 0 0 68 2 0 0 1 1 0 1938 1038 0 18 6 0 0 0 0 1044 24
 2.600000E+01 0 2 90 0 0 69 4 0 0 1 1 0 1955 1025 0 15 5 0 0 0 0 1030 20
 2.650000E+01 0 6 94 0 0 69 3 0 0 2 3 0 1953 1025 0 17 5 0 0 0 0 1030 22
 2.700000E+01 0 6 97 0 0 72 5 0 1 1 1 0 1974 1004 0 18 4 0 0 0 0 1008 22
 2.750000E+01 0 4 98 0 0 70 5 0 0 5 0 0 1976 999 0 20 5 0 0 0 0 1004 25
 2.800000E+01 0 3 103 0 0 58 4 0 0 3 1 0 1992 985 0 18 5 0 0 0 0 990 23
 2.850000E+01 0 5 103 0 0 74 3 0 0 1 1 0 1987 989 0 19 5 0 0 0 0 994 24
 2.900000E+01 0 1 104 0 0 77 3 0 1 1 1 0 1996 980 0 18 6 0 0 0 0 986 24
 2.950000E+01 0 2 104 0 0 65 3 0 0 1 1 0 2000 978 0 19 3 0 0 0 0 981 22
 3.000000E+01 0 4 108 0 0 72 3 0 0 4 3 0 1964 1013 0 18 5 0 0 0 0 1018 23
 3.050000E+01 0 6 112 0 0 71 4 0 0 1 2 0 1950 1029 0 17 4 0 0 0 0 1033 21
 3.100000E+01 0 4 114 0 0 55 4 0 0 2 1 0 1955 1022 0 17 6 0 0 0 0 1028 23
 3.150000E+01 0 3 113 0 0 66 4 0 0 1 0 0 1971 1002 0 19 8 0 0 0 0 1010 27
 3.200000E+01 0 5 115 0 0 57 5 0 0 2 4 0 1962 1011 0 18 9 0 0 0 0 1020 27
 3.250000E+01 0 6 113 0 0 65 4 0 1 2 0 0 1949 1023 0 20 8 0 0 0 0 1031 28
 3.300000E+01 0 6 112 0 0 65 4 0 0 1 1 0 1960 1017 0 15 8 0 0 0 0 1025 23
 3.350000E+01 0 4 115 0 0 62 1 0 1 0 1 0 1962 1015 0 15 8 0 0 0 0 1023 23
 3.400000E+01 0 3 118 0 0 60 2 0 1 1 1 0 1955 1023 0 14 8 0 0 0 0 1031 22
 3.450000E+01 0 3 123 0 0 63 1 0 0 0 3 0 1956 1022 0 15 7 0 0 0 0 1029 22
 3.500000E+01 0 4 124 0 0 66 1 0 0 4 2 0 1953 1025 0 16 6 0 0 0 0 1031 22
 3.550000E+01 0 7 127 0 0 67 1 0 0 1 2 0 1927 1052 0 17 4 0 0 0 0 1056 21
 3.600000E+01 0 5 127 0 0 73 2 0 0 3 6 0 1950 1030 0 15 5 0 0 0 0 1035 20
 3.650000E+01 0 3 129 0 0 66 4 0 0 2 5 0 1953 1028 0 12 7 0 0 0 0 1035 19
 3.700000E+01 0 4 130 0 0 70 6 0 0 2 2 0 1940 1038 0 14 8 0 0 0 0 1046 22
 3.750000E+01 0 4 128 0 0 61 6 0 0 5 1 0 1950 1025 0 16 9 0 0 0 0 1034 25
 3.800000E+01 0 7 131 0 0 59 5 0 0 5 1 0 1951 1017 0 19 13 0 0 0 0 1030 32
 3.850000E+01 0 5 131 0 0 61 5 0 0 2 1 0 1934 1031 0 24 11 0 0 0 0 1042 35
 3.900000E+01 0 6 132 0 0 55 4 0 0 3 3 0 1941 1022 0 24 13 0 0 0 0 1035 37
 3.950000E+01 0 5 131 0 0 65 5 0 0 3 4 0 1942 1020 0 23 15 0 0 0 0 1035 38
 4.000000E+01 0 7 133 0 0 70 7 0 0 3 3 0 1928 1031 0 26 15 0 0 0 0 1046 41
 4.050000E+01 0 3 135 0 0 67 5 0 0 2 5 0 1924 1033 0 26 17 0 0 0 0 1050 43
 4.100000E+01 0 4 132 0 0 76 5 0 0 1 2 0 1928 1025 0 26 21 0 0 0 0 1046 47
 4.150000E+01 0 5 133 0 0 68 5 0 0 2 1 0 1921 1031 0 30 18 0 0 0 0 1049 48
 4.200000E+01 0 3 131 0 0 72 5 0 0 1 3 0 1922 1032 0 29 17 0 0 0 0 1049 46
 4.250000E+01 0 4 132 0 0 62 4 0 0 3 3 0 1942 1010 0 27 21 0 0 0 0 1031 48
 4.300000E+01 0 2 132 0 0 73 5 0 0 6 3 0 1926 1021 0 32 21 0 0 0 0 1042 53
 4.350000E+01 0 7 135 0 0 61 4 0 0 2 2 0 1911 1037 0 31 21 0 0 0 0 1058 52
 4.400000E+01 0 1 137 0 0 57 3 0 0 2 3 0 1932 1020 0 30 18 0 0 0 0 1038 48
 4.450000E+01 0 5 143 0 0 62 3 0 0 4 2 0 1919 1032 0 31 18 0 0 0 0 1050 49
 4.500000E+01 0 6 144 0 0 66 3 0 0 6 3 0 1921 1031 0 27 21 0 0 0 0 1052 48
 4.550000E+01 0 5 143 0 0 66 2 0 0 3 4 0 1916 1037 0 28 19 0 0 0 0 1056 47
 4.600000E+01 0 5 145 0 0 67 2 0 0 1 2 0 1936 1020 0 27 17 0 0 0 0 1037 44
 4.650000E+01 0 3 147 0 0 57 5 0 0 4 3 0 1930 1025 0 28 17 0 0 0 0 1042 45
 4.700000E+01 0 3 147 0 0 56 5 0 0 4 2 0 1947 1006 0 30 17 0 0 0 0 1023 47
 4.750000E+01 0 7 147 0 0 66 6 0 0 2 3 0 1940 1017 0 29 14 0 0 0 0 1031 43
 4.800000E+01 0 8 142 0 0 75 11 0 0 3 4 0 1938 1019 0 29 14 0 0 0 0 1033 43
 4.850000E+01 0 4 142 0 0 59 10 0 0 4 2 0 1960 993 0 31 16 0 0 0 0 1009 47
 4.900000E+01 0 6 142 0 0 65 7 0 2 2 2 0 1958 992 0 32 18 0 0 0 0 1010 50
 4.950000E+01 0 3 141 0 0 67 6 0 0 0 2 0 1942 1011 0 32 15 0 0 0 0 1026 47
 5.000000E+01 0 4 140 0 0 55 6 0 0 2 4 0 1933 1020 0 33 14 0 0 0 0 1034 47
 5.050000E+01 0 6 144 0 0 66 2 0 0 3 2 0 1937 1020 0 30 13 0 0 0 0 1033 43
 5.100000E+01 0 6 148 0 0 66 3 0 0 7 3 0 1912 1047 0 30 11 0 0 0 0 1058 41
 5.150000E+01 0 6 150 0 0 68 3 0 0 1 1 0 1923 1038 0 28 11 0 0 0 0 1049 39
 5.200000E+01 0 5 147 0 0 64 5 0 0 2 4 0 1933 1028 0 27 12 0 0 0 0 1040 39
 5.250000E+01 0 11 145 0 0 66 6 0 0 4 1 0 1927 1034 0 27 12 0 0 0 0 1046 39
 5.300000E+01 0 9 144 0 0 62 6 0 1 1 3 0 1910 1043 0 29 18 0 0 0 0 1061 47
 5.350000E+01 0 4 149 0 0 65 3 0 1 3 6 0 1897 1060 0 28 15 0 0 0 0 1075 43
 5.400000E+01 0 7 150 0 0 55 6 0 1 1 4 0 1901 1054 0 29 16 0 0 0 0 1070 45
 5.450000E+01 0 5 154 0 0 67 5 0 1 5 4 0 1902 1049 0 30 19 0 0 0 0 1068 49
 5.500000E+01 0 4 156 0 0 66 3 0 0 0 4 0 1900 1052 0 28 20 0 0 0 0 1072 48
 5.550000E+01 0 11 159 0 0 71 3 0 0 1 3 0 1892 1059 0 30 19 0 0 0 0 1078 49
 5.600000E+01 0 8 162 0 0 69 5 0 0 3 3 0 1903 1049 0 30 18 0 0 0 0 1067 48
 5.650000E+01 0 7 162 0 0 67 6 0 1 4 2 0 1900 1052 0 31 17 0 0 0 0 1069 48
 5.700000E+01 0 3 162 0 0 61 6 0 1 3 4 0 1884 1064 0 35 17 0 0 0 0 1081 52
 5.750000E+01 0 6 160 0 0 70 6 0 2 2 2 0 1885 1056 0 39 20 0 0 0 0 1076 59
 5.800000E+01 0 1 161 0 0 69 4 0 2 4 6 0 1888 1057 0 41 14 0 0 0 0 1071 55
 5.850000E+01 0 12 167 0 0 61 6 0 1 3 3 0 1864 1084 0 39 13 0 0 0 0 1097 52
 5.900000E+01 0 5 166 0 0 62 5 0 1 1 6 0 1865 1082 0 40 13 0 0 0 0 1095 53
 5.950000E+01 0 3 167 0 0 67 5 0 0 1 8 0 1889 1058 0 38 15 0 0 0 0 1073 53
 6.000000E+01 0 10 170 0 0 67 6 0 0 4 3 0 1909 1034 0 39 18 0 0 0 0 1052 57
 6.050000E+01 0 11 171 0 0 60 6 0 0 6 2 0 1909 1038 0 34 19 0 0 0 0 1057 53
 6.100000E+01 0 7 169 0 0 59 8 0 0 1 4 0 1895 1052 0 37 16 0 0 0 0 1068 53
 6.150000E+01 0 4 168 0 0 64 7 0 0 4 6 0 1891 1051 0 39 19 0 0 0 0 1070 58
 6.200000E+01 0 9 169 0 0 65 10 0 0 4 6 0 1888 1051 0 39 22 0 0 0 0 1073 61
 6.250000E+01 0 1 170 0 0 70 9 0 1 5 5 0 1882 1056 0 40 22 0 0 0 0 1078 62
 6.300000E+01 0 9 172 0 0 48 9 0 1 6 1 0 1884 1046 0 47 23 0 0 0 0 1069 70
 6.350000E+01 0 5 171 0 0 57 9 0 0 7 1 0 1907 1024 0 45 24 0 0 0 0 1048 69
 6.400000E+01 0 5 169 0 0 59 10 0 0 4 2 0 1909 1021 0 42 28 0 0 0 0 1049 70
 6.450000E+01 0 2 170 0 0 73 6 0 0 3 6 0 1910 1017 0 47 26 0 0 0 0 1043 73
 6.500000E+01 0 7 167 0 0 54 8 0 0 7 3 0 1895 1029 0 49 27 0 0 0 0 1056 76
 6.550000E+01 0 3 162 0 0 65 8 0 1 7 7 0 1893 1029 0 50 28 0 0 0 0 1057 78
 6.600000E+01 0 10 162 0 0 61 5 0 0 5 5 0 1873 1051 0 47 29 0 0 0 0 1080 76
 6.650000E+01 0 8 162 0 0 63 4 0 0 2 2 0 1889 1034 0 48 29 0 0 0 0 1063 77
 6.700000E+01 0 3 165 0 0 64 4 0 0 4 4 0 1888 1035 0 50 27 0 0 0 0 1062 77
 6.750000E+01 0 6 166 0 0 73 4 0 0 2 6 0 1904 1025 0 47 24 0 0 0 0 1049 71
 6.800000E+01 0 4 166 0 0 74 6 0 0 4 0 0 1905 1025 0 47 23 0 0 0 0 1048 70
 6.850000E+01 0 8 168 0 0 61 5 0 0 7 7 0 1906 1023 0 54 17 0 0 0 0 1040 71
 6.900000E+01 0 4 170 0 0 66 6 0 0 2 6 0 1918 1019 0 44 19 0 0 0 0 1038 63
 6.950000E+01 0 11 171 0 0 67 8 0 0 4 3 0 1920 1020 0 42 18 0 0 0 0 1038 60
 7.000000E+01 0 8 170 0 0 60 7 0 0 2 5 0 1903 1036 0 44 17 0 0 0 0 1053 61
 7.050000E+01 0 11 169 0 0 69 9 0 0 2 4 0 1910 1028 0 45 17 0 0 0 0 1045 62
 7.100000E+01 0 4 168 0 0 71 12 0 0 1 3 0 1907 1028 0 41 24 0 0 0 0 1052 65
 7.150000E+01 0 6 168 0 0 72 12 0 0 9 2 0 1917 1012 0 41 30 0 0 0 0 1042 71
 7.200000E+01 0 6 166 0 0 72 11 0 0 4 4 0 1933 996 0 41 30 0 0 0 0 1026 71
 7.250000E+01 0 7 167 0 0 66 10 0 0 4 5 0 1918 1014 0 41 27 0 0 0 0 1041 68
 7.300000E+01 0 7 171 0 0 57 9 0 0 4 4 0 1895 1033 0 45 27 0 0 0 0 1060 72
 7.350000E+01 0 6 172 0 0 68 9 0 0 3 4 0 1892 1034 0 47 27 0 0 0 0 1061 74
 7.400000E+01 0 7 173 0 0 72 7 0 0 4 4 0 1898 1028 0 49 25 0 0 0 0 1053 74
 7.450000E+01 0 7 175 0 0 57 6 0 0 3 7 0 1890 1036 0 52 22 0 0 0 0 1058 74
 7.500000E+01 0 6 174 0 0 69 4 0 0 3 2 0 1905 1019 0 53 23 0 0 0 0 1042 76
 7.550000E+01 0 0 172 0 0 58 4 0 0 6 5 0 1899 1032 0 45 24 0 0 0 0 1056 69
 7.600000E+01 0 6 172 0 0 63 4 0 0 2 4 0 1903 1033 0 39 25 0 0 0 0 1058 64
 7.650000E+01 0 3 171 0 0 58 4 0 0 3 5 0 1902 1037 0 40 21 0 0 0 0 1058 61
 7.700000E+01 0 6 175 0 0 72 7 0 1 1 3 0 1911 1031 0 35 23 0 0 0 0 1054 58
 7.750000E+01 0 12 178 0 0 65 6 0 0 3 4 0 1909 1030 0 39 22 0 0 0 0 1052 61
 7.800000E+01 0 9 177 0 0 58 4 0 0 7 3 0 1918 1021 0 39 22 0 0 0 0 1043 61
 7.850000E+01 0 3 178 0 0 66 2 0 1 4 4 0 1921 1025 0 35 19 0 0 0 0 1044 54
 7.900000E+01 0 2 177 0 0 51 3 0 1 3 7 0 1927 1025 0 29 19 0 0 0 0 1044 48
 7.950000E+01 0 8 176 0 0 61 4 0 0 2 6 0 1946 1006 0 31 17 0 0 0 0 1023 48
