# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 1 5 0 0 74 0 0 0 0 0 0 2909 91 0 0 0 0 0 0 0 91 0
 1.000000E+00 0 2 8 0 0 72 0 0 0 0 0 0 2815 185 0 0 0 0 0 0 0 185 0
 1.500000E+00 0 2 10 0 0 72 0 0 0 0 0 0 2730 270 0 0 0 0 0 0 0 270 0
 2.000000E+00 0 1 15 0 0 78 0 0 0 0 0 0 2651 349 0 0 0 0 0 0 0 349 0
 2.500000E+00 0 3 23 0 0 71 0 0 0 0 0 0 2582 418 0 0 0 0 0 0 0 418 0
 3.000000E+00 0 1 23 0 0 73 0 0 0 0 0 0 2513 487 0 0 0 0 0 0 0 487 0
 3.500000E+00 0 5 27 0 0 67 0 0 0 0 0 0 2453 547 0 0 0 0 0 0 0 547 0
 4.000000E+00 0 2 34 0 0 58 0 0 0 0 0 0 2404 596 0 0 0 0 0 0 0 596 0
 4.500000E+00 0 4 36 0 0 80 1 0 0 0 0 0 2371 629 0 0 0 0 0 0 0 629 0
 5.000000E+00 0 5 39 0 0 68 1 0 0 0 0 0 2320 680 0 0 0 0 0 0 0 680 0
 5.500000E+00 0 3 43 0 0 63 1 0 0 0 0 0 2287 712 0 1 0 0 0 0 0 712 1
 6.000000E+00 0 7 49 0 0 81 0 0 0 0 0 0 2249 750 0 1 0 0 0 0 0 750 1
 6.500000E+00 0 1 51 0 0 72 0 0 0 0 0 0 2211 788 0 1 0 0 0 0 0 788 1
 7.000000E+00 0 5 57 0 0 70 1 0 0 0 3 0 2187 813 0 0 0 0 0 0 0 813 0
 7.500000E+00 0 7 59 0 0 83 3 0 0 0 1 0 2178 822 0 0 0 0 0 0 0 822 0
 8.000000E+00 0 4 62 0 0 72 2 0 0 0 1 0 2145 854 0 1 0 0 0 0 0 854 1
 8.500000E+00 0 4 68 0 0 67 1 0 0 0 0 0 2115 883 0 2 0 0 0 0 0 883 2
 9.000000E+00 0 7 71 0 0 64 1 0 0 0 1 0 2105 892 0 3 0 0 0 0 0 892 3
 9.500000E+00 0 2 74 0 0 67 0 0 0 0 0 0 2072 925 0 3 0 0 0 0 0 925 3
 1.000000E+01 0 2 78 0 0 67 0 0 0 1 0 0 2027 970 0 3 0 0 0 0 0 970 3
 1.050000E+01 0 5 81 0 0 66 0 0 0 0 0 0 2026 971 0 3 0 0 0 0 0 971 3
 1.100000E+01 0 3 87 0 0 62 0 0 0 1 1 0 1997 1000 0 3 0 0 0 0 0 1000 3
 1.150000E+01 0 5 91 0 0 58 0 0 0 0 2 0 2005 993 0 2 0 0 0 0 0 993 2
 1.200000E+01 0 2 90 0 0 67 0 0 0 0 1 0 1994 1004 0 2 0 0 0 0 0 1004 2
 1.250000E+01 0 3 93 0 0 69 0 0 0 0 2 0 1979 1019 0 2 0 0 0 0 0 1019 2
 1.300000E+01 0 6 100 0 0 60 0 0 2 1 0 0 1954 1044 0 1 1 0 0 0 0 1045 2
 1.350000E+01 0 4 103 0 0 76 0 0 1 0 5 0 1956 1042 0 1 1 0 0 0 0 1043 2
 1.400000E+01 0 4 106 0 0 65 0 0 0 0 1 0 1956 1043 0 1 0 0 0 0 0 1043 1
 1.450000E+01 0 7 113 0 0 56 0 0 0 0 1 0 1950 1049 0 1 0 0 0 0 0 1049 1
 1.500000E+01 0 5 117 0 0 65 0 0 0 0 2 0 1971 1028 0 1 0 0 0 0 0 1028 1
 1.550000E+01 0 4 126 0 0 70 0 0 0 0 2 0 1986 1013 0 1 0 0 0 0 0 1013 1
 1.600000E+01 0 5 127 0 0 56 2 0 0 0 0 0 1970 1028 0 2 0 0 0 0 0 1028 2
 1.650000E+01 0 8 132 0 0 58 2 0 0 0 2 0 1961 1035 0 4 0 0 0 0 0 1035 4
 1.700000E+01 0 4 132 0 0 73 3 0 0 0 2 0 1974 1021 0 4 1 0 0 0 0 1022 5
 1.750000E+01 0 6 136 0 0 64 4 0 0 2 3 0 1980 1013 0 6 1 0 0 0 0 1014 7
 1.800000E+01 0 4 136 0 0 65 5 0 0 0 5 0 1981 1009 0 8 2 0 0 0 0 1011 10
 1.850000E+01 0 11 137 0 0 65 6 0 0 1 2 0 1992 996 0 9 3 0 0 0 0 999 12
 1.900000E+01 0 0 140 0 0 57 5 0 0 0 3 0 1988 1001 0 9 2 0 0 0 0 1003 11
 1.950000E+01 0 4 144 0 0 67 8 0 0 2 3 0 1990 994 0 13 3 0 0 0 0 997 16
 2.000000E+01 0 7 143 0 0 66 6 0 0 0 2 0 1965 1019 0 11 5 0 0 0 0 1024 16
 2.050000E+01 0 3 145 0 0 65 7 0 0 1 2 0 1980 999 0 17 4 0 0 0 0 1003 21
 2.100000E+01 0 8 146 0 0 62 7 0 0 0 4 0 1982 996 0 16 6 0 0 0 0 1002 22
 2.150000E+01 0 8 148 0 0 69 6 0 0 3 4 0 1977 994 0 22 7 0 0 0 0 1001 29
 2.200000E+01 0 5 147 0 0 70 6 0 0 0 5 0 1955 1018 0 20 7 0 0 0 0 1025 27
