# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 0.000000E+00 0 0 0 0 0 0 0 0 0 0 0 0 3000 0 0 0 0 0 0 0 0 0 0
 5.000000E-01 0 0 4 0 0 79 0 0 0 0 0 0 2895 105 0 0 0 0 0 0 0 105 0
 1.000000E+00 0 1 9 0 0 80 0 0 0 0 0 0 2798 202 0 0 0 0 0 0 0 202 0
 1.500000E+00 0 2 12 0 0 73 0 0 0 0 0 0 2725 275 0 0 0 0 0 0 0 275 0
 2.000000E+00 0 1 17 0 0 70 0 0 0 0 0 0 2632 368 0 0 0 0 0 0 0 368 0
 2.500000E+00 0 4 22 0 0 71 0 0 0 0 0 0 2563 437 0 0 0 0 0 0 0 437 0
 3.000000E+00 0 0 22 0 0 64 0 0 0 0 0 0 2530 470 0 0 0 0 0 0 0 470 0
 3.500000E+00 0 2 26 0 0 66 0 0 0 0 0 0 2462 538 0 0 0 0 0 0 0 538 0
 4.000000E+00 0 5 30 0 0 72 0 0 1 0 0 0 2418 582 0 0 0 0 0 0 0 582 0
 4.500000E+00 0 2 32 0 0 62 0 0 0 0 0 0 2382 618 0 0 0 0 0 0 0 618 0
 5.000000E+00 0 4 34 0 0 72 0 0 0 0 0 0 2334 666 0 0 0 0 0 0 0 666 0
 5.500000E+00 0 1 33 0 0 74 0 0 0 0 0 0 2299 701 0 0 0 0 0 0 0 701 0
 6.000000E+00 0 1 39 0 0 77 0 0 0 0 0 0 2252 748 0 0 0 0 0 0 0 748 0
 6.500000E+00 0 2 44 0 0 65 0 0 0 0 2 0 2221 779 0 0 0 0 0 0 0 779 0
 7.000000E+00 0 3 49 0 0 73 2 0 0 0 1 0 2197 802 0 0 1 0 0 0 0 803 1
 7.500000E+00 0 2 52 0 0 66 2 0 0 1 0 0 2167 832 0 0 1 0 0 0 0 833 1
 8.000000E+00 0 4 56 0 0 66 1 0 0 0 1 0 2138 861 0 1 0 0 0 0 0 861 1
 8.500000E+00 0 3 63 0 0 63 1 0 0 0 0 0 2123 876 0 1 0 0 0 0 0 876 1
 9.000000E+00 0 2 66 0 0 70 1 0 0 0 0 0 2086 912 0 1 1 0 0 0 0 913 2
 9.500000E+00 0 2 70 0 0 66 1 0 0 2 1 0 2071 925 0 3 1 0 0 0 0 926 4
 1.000000E+01 0 2 68 0 0 65 1 0 0 1 1 0 2081 913 0 5 1 0 0 0 0 914 6
 1.050000E+01 0 4 72 0 0 64 1 0 0 0 1 0 2042 951 0 4 3 0 0 0 0 954 7
 1.100000E+01 0 5 77 0 0 60 2 0 0 0 1 0 2034 959 0 3 4 0 0 0 0 963 7
 1.150000E+01 0 5 83 0 0 72 2 0 0 2 0 0 2010 983 0 4 3 0 0 0 0 986 7
 1.200000E+01 0 2 88 0 0 63 2 0 0 0 1 0 2004 992 0 0 4 0 0 0 0 996 4
 1.250000E+01 0 6 88 0 0 64 1 0 0 1 1 0 1982 1011 0 4 3 0 0 0 0 1014 7
 1.300000E+01 0 5 89 0 0 69 2 0 0 1 0 0 1982 1012 0 4 2 0 0 0 0 1014 6
 1.350000E+01 0 7 93 0 0 60 2 0 0 0 1 0 1949 1043 0 5 3 0 0 0 0 1046 8
 1.400000E+01 0 4 98 0 0 56 2 0 0 0 2 0 1947 1045 0 6 2 0 0 0 0 1047 8
 1.450000E+01 0 6 99 0 0 74 3 0 1 1 0 0 1934 1055 0 8 3 0 0 0 0 1058 11
 1.500000E+01 0 4 100 0 0 68 3 1 0 2 1 0 1939 1047 0 11 3 0 0 0 0 1050 14
 1.550000E+01 0 6 104 0 0 64 3 0 0 0 1 0 1925 1059 0 12 4 0 0 0 0 1063 16
 1.600000E+01 0 2 106 0 0 77 3 0 0 1 2 0 1914 1067 0 15 4 0 0 0 0 1071 19
 1.650000E+01 0 4 110 0 0 60 3 0 0 0 1 0 1925 1050 0 17 8 0 0 0 0 1058 25
 1.700000E+01 0 3 115 0 0 67 3 0 0 1 2 0 1891 1084 0 17 8 0 0 0 0 1092 25
 1.750000E+01 0 8 119 0 0 63 2 0 1 2 3 0 1907 1071 0 16 6 0 0 0 0 1077 22
 1.800000E+01 0 4 122 0 0 73 2 0 0 1 1 0 1919 1059 0 16 6 0 0 0 0 1065 22
 1.850000E+01 0 3 127 0 0 62 0 0 0 2 3 0 1918 1059 0 16 7 0 0 0 0 1066 23
 1.900000E+01 0 5 129 0 0 63 0 0 0 1 2 0 1931 1048 0 14 7 0 0 0 0 1055 21
 1.950000E+01 0 4 134 0 0 60 2 0 0 2 3 0 1938 1042 0 14 6 0 0 0 0 1048 20
 2.000000E+01 0 4 132 0 0 66 4 0 0 2 3 0 1954 1027 0 11 8 0 0 0 0 1035 19
 2.050000E+01 0 4 138 0 0 60 5 0 0 1 4 0 1975 1006 0 14 5 0 0 0 0 1011 19
 2.100000E+01 0 5 143 0 0 68 8 0 0 2 5 0 1938 1041 0 17 4 0 0 0 0 1045 21
 2.150000E+01 0 3 147 0 0 61 7 0 0 0 4 0 1928 1052 0 16 4 0 0 0 0 1056 20
 2.200000E+01 0 3 147 0 0 68 8 0 0 2 3 0 1934 1042 0 18 6 0 0 0 0 1048 24
 2.250000E+01 0 3 149 0 0 62 6 0 0 3 3 0 1931 1045 0 17 7 0 0 0 0 1052 24
 2.300000E+01 0 4 156 0 0 55 9 0 0 2 4 0 1940 1029 0 20 11 0 0 0 0 1040 31
 2.350000E+01 0 6 158 0 0 64 10 0 0 1 2 0 1920 1044 0 25 11 0 0 0 0 1055 36
 2.400000E+01 0 7 161 0 0 66 9 0 0 2 3 0 1911 1052 0 27 10 0 0 0 0 1062 37
 2.450000E+01 0 4 168 0 0 58 9 0 0 2 7 0 1900 1055 0 33 12 0 0 0 0 1067 45
 2.500000E+01 0 4 166 0 0 58 9 0 0 2 7 0 1892 1064 0 30 14 0 0 0 0 1078 44
 2.550000E+01 0 8 171 0 0 58 11 0 1 3 6 0 1903 1050 0 34 13 0 0 0 0 1063 47
 2.600000E+01 0 2 173 0 0 66 9 0 1 5 5 0 1895 1052 0 41 12 0 0 0 0 1064 53
 2.650000E+01 0 9 177 0 0 65 11 0 0 3 5 0 1898 1045 0 42 15 0 0 0 0 1060 57
 2.700000E+01 0 5 179 0 0 69 10 0 0 1 1 0 1896 1044 0 43 17 0 0 0 0 1061 60
 2.750000E+01 0 10 180 0 0 67 10 0 0 4 8 0 1904 1029 0 48 19 0 0 0 0 1048 67
 2.800000E+01 0 9 181 0 0 56 12 0 0 5 7 0 1915 1020 0 46 19 0 0 0 0 1039 65
 2.850000E+01 0 5 183 0 0 68 13 0 0 7 5 0 1886 1043 0 52 19 0 0 0 0 1062 71
 2.900000E+01 0 3 186 0 0 67 9 0 1 3 5 0 1890 1038 0 51 21 0 0 0 0 1059 72
 2.950000E+01 0 7 187 0 0 76 7 0 0 2 5 0 1871 1051 0 56 22 0 0 0 0 1073 78
 3.000000E+01 0 5 189 0 0 62 8 0 0 2 6 0 1855 1065 0 58 22 0 0 0 0 1087 80
 3.050000E+01 0 12 190 0 0 60 8 0 0 4 10 0 1874 1046 0 57 23 0 0 0 0 1069 80
 3.100000E+01 0 10 196 0 0 67 16 0 0 5 5 0 1884 1039 0 56 21 0 0 0 0 1060 77
 3.150000E+01 0 6 198 0 0 70 15 0 0 2 4 0 1870 1039 0 64 27 0 0 0 0 1066 91
 3.200000E+01 0 11 201 0 0 68 16 0 0 5 7 0 1861 1042 0 67 30 0 0 0 0 1072 97
